,token_index,value
2511,4011,25.725569
2512,4012,31.611513
2513,4013,47.3162
2514,4014,54.025097
2515,4015,35.148113
2516,4016,40.691013
2517,4017,20.677618
2518,4018,94.41118
2519,4019,96.78163
2520,4020,18.57216
2521,4021,22.358725
2522,4022,87.51604
2523,4023,16.583918
2524,4024,15.891892
2525,4025,24.354233
2526,4026,25.792624
2527,4027,10.191856
2528,4029,96.82395
2529,4031,43.273285
2530,4034,101.54521
2531,4035,83.3097
2532,4036,70.382935
2533,4038,78.113594
2534,4040,19.185907
2535,4041,88.57439
2536,4042,74.17083
2537,4044,54.944454
2538,4045,9.334051
2539,4046,76.58363
2540,4047,51.219337
2541,4049,90.836716
2542,4050,16.480572
2543,4051,19.475067
2544,4052,77.70505
2545,4053,64.13553
2546,4054,84.34745
2547,4055,20.856188
2548,4057,31.578588
2549,4058,21.968632
2550,4059,21.523602
2551,4063,53.811897
2552,4064,19.947208
2553,4065,50.578888
2554,4066,13.279788
2555,4068,20.785625
2556,4069,39.89597
2557,4070,27.742384
2558,4071,26.42034
2559,4072,21.031612
2560,4073,64.31093
2561,4074,32.393562
2562,4076,93.74172
2563,4077,12.282313
2564,4078,89.43543
2565,4079,60.080532
2566,4081,74.19515
2567,4082,68.56228
2568,4083,82.86939
2569,4084,18.991127
2570,4085,74.54233
2571,4089,43.185017
2572,4090,90.627304
2573,4091,75.03458
2574,4093,103.670876
2575,4095,70.94664
2576,4096,54.586884
2577,4101,102.273285
2578,4102,17.542385
2579,4103,101.75254
2580,4104,33.136997
2581,4105,69.02875
2582,4106,82.34671
2583,4108,23.198648
2584,4109,79.76165
2585,4110,10.298139
2586,4111,36.215454
2587,4112,38.12276
2588,4113,34.35809
2589,4114,115.198494
2590,4115,29.262552
2591,4116,58.005836
2592,4117,69.82693
2593,4118,64.05528
2594,4120,15.38826
2595,4122,43.338554
2596,4123,15.60087
2597,4124,82.38571
2598,4125,87.611336
2599,4126,17.15594
2600,4128,13.061272
2601,4129,25.868237
2602,4130,69.68924
2603,4131,56.235947
2604,4132,63.945965
2605,4133,26.973629
2606,4137,63.845726
2607,4139,18.92817
2608,4140,51.409634
2609,4141,77.701294
2610,4142,70.98638
2611,4143,24.107176
2612,4144,34.202282
2613,4145,72.21241
2614,4146,66.33219
2615,4147,24.216429
2616,4148,57.01246
2617,4149,55.424213
2618,4150,26.26369
2619,4151,77.810844
2620,4152,35.34966
2621,4153,69.74647
2622,4154,18.43113
2623,4155,80.62161
2624,4156,2674.6328
2625,4157,50.30894
2626,4158,17.271511
2627,4159,102.07557
2628,4161,81.25782
2629,4162,69.42209
2630,4163,11.810029
2631,4164,87.038284
2632,4166,21.95174
2633,4167,46.20528
2634,4168,14.189255
2635,4170,34.913937
2636,4171,33.03087
2637,4172,19.974178
2638,4173,88.98728
2639,4174,69.268486
2640,4175,108.60595
2641,4176,91.300224
